,Team,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Date
['Hanley RamirezSS'],Florida Marlins,5,1,3,4,0,0,6,.339,.391,.565,.956,21,12,0.174,1.01,0.245,-0.071,0.03%,0.26,1.7,4,2,"HR,2B,SF",7/27/2007
['Dan Uggla2B'],Florida Marlins,6,1,1,0,0,0,6,.257,.331,.511,.841,19,12,-0.088,0.93,0.039,-0.127,-0.01%,0.24,-1.0,1,3,2B,7/27/2007
['Miguel Cabrera3B'],Florida Marlins,4,1,2,1,2,0,6,.332,.405,.597,1.001,18,7,0.074,0.78,0.125,-0.051,0.01%,0.20,0.9,0,4,IW,7/27/2007
['Josh WillinghamLF'],Florida Marlins,2,1,1,0,3,0,5,.263,.375,.466,.841,22,8,0.044,0.82,0.091,-0.046,0.01%,0.21,0.8,2,0,GDP,7/27/2007
['Mike Jacobs1B'],Florida Marlins,5,1,2,2,0,1,5,.277,.328,.455,.783,26,17,0.161,1.35,0.250,-0.088,0.03%,0.35,0.7,8,1,2B,7/27/2007
['Cody RossCF'],Florida Marlins,4,1,2,2,0,1,4,.293,.398,.587,.984,10,9,0.167,1.27,0.233,-0.066,0.03%,0.32,1.6,3,0,HR,7/27/2007
['Renyel PintoP'],Florida Marlins,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,7/27/2007
['Matt LindstromP'],Florida Marlins,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,7/27/2007
['Lee GardnerP'],Florida Marlins,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,7/27/2007
['Jason WoodPH'],Florida Marlins,1,0,0,0,0,1,1,.276,.317,.474,.791,3,3,-0.011,0.38,0.000,-0.011,-0.00%,0.10,-0.3,,,,7/27/2007
['Taylor TankersleyP'],Florida Marlins,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/27/2007
['Miguel OlivoC'],Florida Marlins,5,1,1,0,0,2,5,.234,.251,.380,.631,19,12,-0.060,0.68,0.021,-0.081,-0.01%,0.17,-0.5,4,1,,7/27/2007
['Jeremy HermidaRF'],Florida Marlins,3,3,2,1,2,0,5,.256,.350,.443,.793,24,13,0.046,0.76,0.095,-0.049,0.01%,0.20,1.5,1,0,2·2B,7/27/2007
['Rick van den HurkP'],Florida Marlins,2,0,0,0,0,2,3,.091,.091,.091,.182,11,7,-0.061,0.92,0.000,-0.061,-0.01%,0.23,-0.9,0,1,SH,7/27/2007
['Alfredo AmezagaCF'],Florida Marlins,2,0,1,0,0,0,2,.274,.324,.374,.698,5,4,-0.005,0.99,0.035,-0.039,-0.00%,0.26,0.7,1,0,2B,7/27/2007
Team Totals,Florida Marlins,39,10,15,10,7,7,48,.385,.468,.692,1.160,178,104,0.441,0.92,1.134,-0.690,0.07%,0.24,5.2,24,12,,7/27/2007
['Hanley RamirezSS'],Florida Marlins,4,1,2,0,0,0,4,.341,.392,.567,.959,20,10,0.054,0.83,0.086,-0.032,0.01%,0.18,0.4,1,8,"2B,SB",7/28/2007
['Dan Uggla2B'],Florida Marlins,3,0,0,0,1,0,4,.255,.330,.507,.837,18,9,-0.074,1.11,0.024,-0.099,-0.01%,0.24,-0.7,5,3,,7/28/2007
['Miguel Cabrera3B'],Florida Marlins,4,1,1,2,0,2,4,.331,.403,.601,1.004,15,11,0.111,1.01,0.177,-0.066,0.01%,0.22,0.8,1,4,HR,7/28/2007
['Mike Jacobs1B'],Florida Marlins,4,0,1,0,0,1,4,.276,.326,.452,.778,21,13,-0.018,0.63,0.026,-0.044,-0.00%,0.14,-0.2,10,0,,7/28/2007
['Jason Wood1B'],Florida Marlins,0,0,0,0,0,0,0,.276,.317,.474,.791,,,,,,,,,,1,0,,7/28/2007
['Josh WillinghamLF'],Florida Marlins,4,1,1,0,0,0,4,.262,.374,.467,.841,9,8,-0.057,0.83,0.022,-0.079,-0.01%,0.18,-0.7,1,0,2B,7/28/2007
['Jeremy HermidaRF'],Florida Marlins,3,0,1,1,0,2,3,.257,.350,.441,.792,13,9,0.056,0.87,0.094,-0.038,0.01%,0.19,0.5,0,0,,7/28/2007
['Cody RossPH-CF'],Florida Marlins,1,0,0,0,0,0,1,.289,.393,.579,.972,5,4,-0.018,0.70,0.000,-0.018,-0.00%,0.15,-0.2,0,0,,7/28/2007
['Matt TreanorC'],Florida Marlins,4,0,0,0,0,2,4,.309,.374,.444,.818,16,11,-0.059,0.56,0.000,-0.059,-0.01%,0.12,-0.7,3,0,,7/28/2007
['Alfredo AmezagaCF'],Florida Marlins,3,0,0,0,1,2,4,.271,.323,.371,.694,23,11,-0.031,0.68,0.023,-0.055,-0.00%,0.15,-0.4,3,0,,7/28/2007
['Kevin GreggP'],Florida Marlins,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,7/28/2007
['Dontrelle WillisP'],Florida Marlins,3,0,0,0,0,2,3,.139,.225,.194,.419,10,7,-0.067,0.82,0.000,-0.067,-0.01%,0.18,-0.7,0,1,,7/28/2007
['Armando BenitezP'],Florida Marlins,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/28/2007
['Todd LindenRF'],Florida Marlins,0,0,0,0,0,0,0,.216,.293,.288,.581,,,,,,,,,,0,0,,7/28/2007
Team Totals,Florida Marlins,33,3,6,3,2,11,35,.182,.229,.333,.562,150,93,-0.103,0.81,0.452,-0.557,-0.01%,0.18,-1.8,25,16,,7/28/2007
['Hanley RamirezSS'],Florida Marlins,5,1,2,0,0,1,5,.296,.395,.531,.926,14,9,-0.041,2.11,0.122,-0.163,-0.00%,0.18,-0.2,1,1,,9/5/2008
['John BakerC'],Florida Marlins,5,0,1,0,0,0,5,.286,.378,.451,.829,16,10,-0.126,2.27,0.117,-0.243,-0.01%,0.19,-1.1,5,0,GDP,9/5/2008
['Jorge Cantu3B'],Florida Marlins,5,1,1,0,0,0,5,.274,.321,.460,.781,15,11,-0.119,1.75,0.012,-0.131,-0.01%,0.15,-0.8,4,0,,9/5/2008
['Mike Jacobs1B'],Florida Marlins,4,1,1,1,0,1,4,.242,.288,.517,.805,14,8,0.271,1.31,0.352,-0.081,0.01%,0.11,0.4,5,1,HR,9/5/2008
['Paul Lo DucaPH-1B'],Florida Marlins,1,0,0,0,0,0,1,.245,.320,.301,.621,8,5,-0.185,5.19,0.000,-0.185,-0.01%,0.44,-0.7,1,0,,9/5/2008
['Dan Uggla2B'],Florida Marlins,5,1,2,1,0,1,5,.257,.353,.527,.881,20,14,0.262,1.87,0.359,-0.097,0.01%,0.16,0.6,3,2,2B,9/5/2008
['Cody RossCF-LF'],Florida Marlins,5,0,1,1,0,3,5,.264,.321,.497,.819,22,13,0.022,1.09,0.133,-0.111,0.00%,0.09,1.2,4,0,,9/5/2008
['Josh WillinghamLF'],Florida Marlins,2,0,0,0,0,0,3,.254,.369,.452,.821,15,8,0.046,1.26,0.087,-0.041,0.00%,0.11,0.0,3,0,HBP,9/5/2008
['Alfredo AmezagaPR-CF'],Florida Marlins,2,0,0,0,0,1,2,.255,.305,.346,.651,13,8,-0.065,1.27,0.000,-0.065,-0.00%,0.11,-0.6,2,0,,9/5/2008
['Jeremy HermidaRF'],Florida Marlins,4,0,0,0,0,2,4,.249,.323,.411,.734,16,12,-0.172,1.79,0.000,-0.172,-0.01%,0.15,-0.9,5,1,,9/5/2008
['Ricky NolascoP'],Florida Marlins,2,0,1,0,0,0,2,.132,.164,.170,.333,10,7,0.013,0.65,0.028,-0.015,0.00%,0.06,0.2,0,0,,9/5/2008
['Wes HelmsPH'],Florida Marlins,0,0,0,0,0,0,0,.246,.305,.345,.650,,,,,,,,,,,,,9/5/2008
['Luis GonzalezPH'],Florida Marlins,0,0,0,0,1,0,1,.267,.344,.421,.766,6,2,0.085,2.90,0.085,0.000,0.00%,0.25,0.4,,,,9/5/2008
['Brett CarrollPR'],Florida Marlins,0,0,0,0,0,0,0,.059,.111,.176,.288,,,,,,,,,,,,,9/5/2008
['Doug WaechterP'],Florida Marlins,0,0,0,0,0,0,0,.167,.167,.167,.333,,,,,,,,,,0,0,,9/5/2008
['Joe NelsonP'],Florida Marlins,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,9/5/2008
['Dallas McPhersonPH'],Florida Marlins,1,0,0,0,0,0,1,.000,.500,.000,.500,5,3,-0.034,1.32,0.000,-0.034,-0.00%,0.11,-0.1,,,,9/5/2008
['Arthur RhodesP'],Florida Marlins,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,1,,9/5/2008
['Matt LindstromP'],Florida Marlins,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,1,,9/5/2008
Team Totals,Florida Marlins,41,4,9,3,1,9,43,.220,.256,.317,.573,174,110,-0.043,1.74,1.295,-1.338,-0.00%,0.15,-1.5,33,7,,9/5/2008
['Hanley RamirezSS'],Florida Marlins,4,0,1,0,0,0,4,.296,.394,.529,.923,19,10,-0.037,1.21,0.052,-0.089,-0.00%,0.17,-0.2,1,1,,9/6/2008
['Luis GonzalezRF'],Florida Marlins,4,0,0,0,0,1,4,.264,.341,.416,.757,14,9,-0.133,1.37,0.000,-0.133,-0.01%,0.19,-0.9,4,0,,9/6/2008
['Brett CarrollRF'],Florida Marlins,0,0,0,0,0,0,0,.059,.111,.176,.288,,,,,,,,,,1,0,,9/6/2008
['Jorge Cantu3B'],Florida Marlins,4,1,1,0,0,2,4,.273,.321,.460,.781,17,12,-0.027,1.00,0.052,-0.079,-0.00%,0.14,-0.1,0,1,2B,9/6/2008
['Mike Jacobs1B'],Florida Marlins,4,0,0,0,0,0,4,.239,.285,.512,.797,9,8,-0.141,1.31,0.000,-0.141,-0.01%,0.18,-1.1,6,0,,9/6/2008
['Dan Uggla2B'],Florida Marlins,2,1,1,2,1,0,4,.258,.356,.534,.890,18,8,0.337,1.19,0.353,-0.016,0.03%,0.17,2.3,1,3,"HR,HBP",9/6/2008
['Cody RossCF'],Florida Marlins,4,0,0,0,0,3,4,.261,.318,.493,.811,17,10,-0.136,1.44,0.000,-0.136,-0.01%,0.20,-0.9,6,0,,9/6/2008
['Josh WillinghamLF'],Florida Marlins,4,1,1,1,0,1,4,.254,.368,.460,.828,17,10,-0.019,1.43,0.101,-0.121,-0.00%,0.20,0.2,2,0,HR,9/6/2008
['John BakerC'],Florida Marlins,3,0,1,0,0,1,3,.287,.377,.456,.833,12,7,0.025,1.17,0.072,-0.048,0.00%,0.17,-0.0,3,1,2B,9/6/2008
['Scott OlsenP'],Florida Marlins,2,0,0,0,0,0,2,.151,.196,.151,.347,7,5,-0.033,0.65,0.000,-0.033,-0.00%,0.09,-0.3,0,0,,9/6/2008
['Paul Lo DucaPH'],Florida Marlins,1,0,0,0,0,0,1,.244,.319,.299,.617,5,2,-0.118,4.00,0.000,-0.118,-0.01%,0.57,-0.6,,,,9/6/2008
['Logan KensingP'],Florida Marlins,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,9/6/2008
['Andrew MillerP'],Florida Marlins,0,0,0,0,0,0,0,.067,.067,.067,.133,,,,,,,,,,0,0,,9/6/2008
Team Totals,Florida Marlins,32,3,5,3,1,8,34,.156,.206,.406,.612,135,81,-0.282,1.31,0.630,-0.914,-0.02%,0.19,-1.5,24,6,,9/6/2008
['Denard SpanCF'],Minnesota Twins,5,1,1,0,0,2,5,.282,.370,.368,.738,22,14,-0.094,0.76,0.006,-0.099,-0.06%,0.77,-0.8,2,0,,7/25/2009
['Joe MauerDH'],Minnesota Twins,5,1,2,0,0,0,5,.366,.436,.609,1.044,22,14,0.027,0.43,0.051,-0.023,0.02%,0.43,0.3,,,,7/25/2009
['Justin Morneau1B'],Minnesota Twins,4,0,1,0,1,1,5,.313,.396,.582,.978,23,12,-0.047,0.52,0.014,-0.061,-0.03%,0.53,-1.3,8,3,GDP,7/25/2009
['Jason KubelLF'],Minnesota Twins,4,2,3,3,1,0,5,.315,.383,.570,.952,21,11,0.215,0.48,0.216,-0.002,0.13%,0.48,3.5,3,0,"HR,2B",7/25/2009
['Michael CuddyerRF'],Minnesota Twins,5,1,1,0,0,0,5,.271,.349,.507,.856,16,8,-0.041,0.56,0.020,-0.061,-0.03%,0.56,0.1,4,0,,7/25/2009
['Brian Buscher3B'],Minnesota Twins,5,0,2,1,0,1,5,.221,.350,.310,.660,17,11,0.005,0.39,0.039,-0.035,0.00%,0.39,1.0,0,0,,7/25/2009
['Brendan HarrisSS'],Minnesota Twins,4,0,0,0,0,0,4,.263,.306,.373,.679,12,8,-0.065,0.60,0.000,-0.065,-0.04%,0.60,-1.3,1,1,,7/25/2009
['Mike RedmondC'],Minnesota Twins,4,0,1,0,0,2,4,.242,.306,.283,.588,13,10,-0.027,0.47,0.013,-0.040,-0.02%,0.47,-1.0,3,0,,7/25/2009
['Alexi Casilla2B'],Minnesota Twins,3,0,1,0,1,1,4,.168,.247,.203,.450,15,10,0.024,0.49,0.040,-0.015,0.01%,0.49,-0.3,1,3,SB,7/25/2009
[''],Minnesota Twins,,,,,,,,,,,,,,,,,,,,,,,,7/25/2009
['Nick BlackburnP'],Minnesota Twins,,,,,,,,,,,,,,,,,,,,,1,0,,7/25/2009
['R.A. DickeyP'],Minnesota Twins,,,,,,,,,,,,,,,,,,,,,0,0,,7/25/2009
['Bobby KeppelP'],Minnesota Twins,,,,,,,,,,,,,,,,,,,,,1,0,,7/25/2009
['Brian DuensingP'],Minnesota Twins,,,,,,,,,,,,,,,,,,,,,0,0,,7/25/2009
['Jose MijaresP'],Minnesota Twins,,,,,,,,,,,,,,,,,,,,,0,0,,7/25/2009
Team Totals,Minnesota Twins,39,5,12,4,3,7,42,.308,.357,.410,.767,161,98,-0.003,0.52,0.399,-0.401,-0.00%,0.52,0.2,24,7,,7/25/2009
['Chris CoghlanLF'],Florida Marlins,5,1,2,1,0,0,5,.251,.338,.372,.711,23,15,-0.040,0.49,0.015,-0.056,-0.03%,0.53,0.3,0,0,2B,7/26/2009
['Emilio Bonifácio3B'],Florida Marlins,4,1,0,0,0,2,5,.251,.296,.312,.608,13,10,-0.015,0.43,0.009,-0.024,-0.01%,0.47,-1.0,1,0,HBP,7/26/2009
['Hanley RamirezSS'],Florida Marlins,4,1,2,3,0,1,5,.348,.412,.557,.969,10,7,0.183,0.50,0.199,-0.016,0.12%,0.55,2.4,3,7,"2B,HBP",7/26/2009
['Jorge Cantu1B'],Florida Marlins,5,1,2,1,0,0,5,.290,.340,.451,.792,24,14,0.124,0.38,0.128,-0.003,0.08%,0.41,0.9,10,0,2·2B,7/26/2009
['Jeremy HermidaRF'],Florida Marlins,5,0,1,0,0,0,5,.248,.336,.388,.724,20,14,0.050,0.42,0.071,-0.021,0.03%,0.45,-0.2,1,0,,7/26/2009
['Dan Uggla2B'],Florida Marlins,5,1,2,1,0,0,5,.229,.338,.425,.764,17,11,-0.021,0.45,0.044,-0.064,-0.01%,0.49,0.2,4,3,"HR,2B,GDP",7/26/2009
['Cody RossCF'],Florida Marlins,4,1,1,0,1,1,5,.267,.326,.467,.793,22,15,-0.005,0.16,0.009,-0.015,-0.00%,0.17,0.1,1,1,2B,7/26/2009
['John BakerC'],Florida Marlins,1,2,1,1,2,0,4,.269,.346,.427,.774,12,3,0.068,0.34,0.068,0.000,0.04%,0.37,2.1,7,1,"2B,HBP,IW",7/26/2009
['Chris VolstadP'],Florida Marlins,1,0,0,0,0,1,3,.086,.111,.086,.197,11,9,-0.018,0.50,0.000,-0.018,-0.01%,0.54,-0.8,0,3,2·SH,7/26/2009
['Burke BadenhopP'],Florida Marlins,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,7/26/2009
['Renyel PintoP'],Florida Marlins,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,7/26/2009
['Luis AyalaP'],Florida Marlins,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/26/2009
['Ross GloadPH'],Florida Marlins,1,0,0,0,0,0,1,.271,.347,.398,.745,2,1,-0.004,0.17,0.000,-0.004,-0.00%,0.18,-0.3,,,,7/26/2009
['Brendan DonnellyP'],Florida Marlins,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/26/2009
['Juan Carlos OviedoP'],Florida Marlins,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/26/2009
Team Totals,Florida Marlins,35,8,11,7,3,5,43,.314,.415,.600,1.015,154,99,0.322,0.40,0.543,-0.221,0.21%,0.43,3.7,27,15,,7/26/2009
['Skip Schumaker2B'],St. Louis Cardinals,4,0,1,1,1,1,5,.294,.356,.397,.753,18,11,0.012,0.41,0.046,-0.034,0.01%,0.37,0.7,1,4,,8/22/2009
['Brendan RyanSS'],St. Louis Cardinals,5,2,2,0,0,0,5,.294,.339,.404,.743,16,12,0.001,0.33,0.027,-0.026,0.00%,0.30,-0.3,3,4,3B,8/22/2009
['Albert Pujols1B'],St. Louis Cardinals,4,1,1,0,1,3,5,.316,.439,.661,1.100,21,14,0.035,0.34,0.043,-0.008,0.02%,0.31,-0.5,7,1,,8/22/2009
['Jason LaRueC'],St. Louis Cardinals,0,0,0,0,0,0,0,.239,.299,.310,.609,,,,,,,,,,0,1,,8/22/2009
['Matt HollidayLF'],St. Louis Cardinals,3,1,2,3,2,0,5,.315,.397,.514,.911,17,6,0.244,0.46,0.246,-0.003,0.13%,0.41,3.0,1,0,HR,8/22/2009
['Ryan LudwickRF'],St. Louis Cardinals,5,0,2,1,0,0,5,.264,.326,.454,.780,25,15,-0.025,0.31,0.008,-0.034,-0.01%,0.28,0.8,1,0,,8/22/2009
['Kyle McClellanP'],St. Louis Cardinals,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,1,0,,8/22/2009
['Dennys ReyesP'],St. Louis Cardinals,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,8/22/2009
['Colby RasmusCF'],St. Louis Cardinals,4,1,1,1,1,0,5,.254,.313,.427,.739,24,13,0.053,0.18,0.063,-0.009,0.03%,0.16,0.7,4,0,HR,8/22/2009
['Mark DeRosa3B'],St. Louis Cardinals,4,1,2,0,0,0,4,.259,.330,.453,.783,10,7,0.023,0.28,0.032,-0.009,0.01%,0.25,-0.2,0,0,,8/22/2009
['Joe ThurstonPH-3B'],St. Louis Cardinals,1,0,0,0,0,0,1,.230,.326,.342,.668,3,2,0.000,0.00,0.000,0.000,0%,0.00,-0.2,0,0,,8/22/2009
['Yadier MolinaC-1B'],St. Louis Cardinals,5,0,1,0,0,0,5,.290,.360,.380,.741,11,6,-0.050,0.32,0.002,-0.052,-0.03%,0.29,-1.7,9,0,,8/22/2009
['Chris CarpenterP'],St. Louis Cardinals,3,0,1,0,0,0,3,.152,.188,.174,.361,7,6,-0.015,0.24,0.003,-0.018,-0.01%,0.22,-0.2,0,1,,8/22/2009
['Rick AnkielPH-RF'],St. Louis Cardinals,2,1,1,1,0,1,2,.238,.285,.409,.695,9,5,0.007,0.03,0.007,0.000,0.00%,0.03,0.9,0,0,HR,8/22/2009
Team Totals,St. Louis Cardinals,40,7,14,7,5,5,45,.350,.422,.625,1.047,161,97,0.285,0.30,0.477,-0.193,0.16%,0.28,3.0,27,11,,8/22/2009
['Felipe Lopez2B'],St. Louis Cardinals,4,0,2,0,0,2,4,.279,.354,.442,.796,11,8,0.034,0.97,0.081,-0.046%,0.03%,1.23,0.3,1,3,,4/24/2010
['Ryan LudwickCF-RF'],St. Louis Cardinals,3,0,0,0,1,1,4,.297,.392,.484,.876,15,8,-0.026,1.41,0.067,-0.093%,-0.02%,1.78,-0.1,2,0,,4/24/2010
['Albert Pujols1B'],St. Louis Cardinals,4,0,0,0,0,1,4,.275,.367,.594,.961,14,11,-0.196,1.22,0.000,-0.196%,-0.15%,1.54,-1.6,11,1,GDP,4/24/2010
['Matt HollidayLF'],St. Louis Cardinals,4,0,2,0,0,1,4,.318,.357,.561,.918,19,14,-0.019,1.09,0.043,-0.062%,-0.01%,1.38,-0.2,2,0,,4/24/2010
['Yadier MolinaC'],St. Louis Cardinals,3,0,0,0,1,0,4,.254,.313,.373,.685,14,7,-0.120,1.28,0.026,-0.146%,-0.09%,1.62,-0.8,4,0,CS,4/24/2010
['David Freese3B'],St. Louis Cardinals,2,0,0,0,1,1,3,.277,.340,.319,.659,19,10,-0.038,1.06,0.021,-0.059%,-0.03%,1.35,-0.4,1,3,,4/24/2010
['Allen CraigRF'],St. Louis Cardinals,3,0,0,0,0,1,3,.056,.150,.056,.206,13,9,-0.086,1.11,0.000,-0.086%,-0.07%,1.40,-0.6,1,0,,4/24/2010
['Joe MatherCF'],St. Louis Cardinals,0,0,0,0,0,0,0,.188,.235,.250,.485,,,,,,,,,,0,0,,4/24/2010
['Brendan RyanSS'],St. Louis Cardinals,3,0,0,0,0,2,3,.176,.263,.235,.498,16,9,-0.077,1.04,0.000,-0.077%,-0.06%,1.31,-0.5,1,3,,4/24/2010
['Adam WainwrightP'],St. Louis Cardinals,3,0,0,0,0,1,3,.167,.286,.333,.619,9,7,-0.078,1.06,0.000,-0.078%,-0.06%,1.34,-0.5,1,2,,4/24/2010
Team Totals,St. Louis Cardinals,29,0,4,0,3,10,32,.138,.219,.138,.357,130,83,-0.606,1.15,0.238,-0.843%,-0.46%,1.45,-4.3,24,12,,4/24/2010
['Rafael FurcalSS'],Los Angeles Dodgers,5,0,1,0,0,0,5,.298,.365,.450,.816,15,10,-0.234,1.43,0.014,-0.248%,0%,0.00,-1.7,1,2,GDP,9/26/2010
['Ryan Theriot2B'],Los Angeles Dodgers,4,1,2,0,1,0,5,.272,.320,.316,.636,19,10,-0.016,1.05,0.063,-0.079%,0%,0.00,0.2,0,3,,9/26/2010
['Matt KempCF'],Los Angeles Dodgers,5,1,2,0,0,1,5,.248,.308,.431,.739,21,14,-0.025,1.26,0.069,-0.094%,0%,0.00,-0.6,0,0,,9/26/2010
['James Loney1B'],Los Angeles Dodgers,5,0,1,2,0,0,5,.270,.331,.398,.728,23,13,0.176,1.49,0.292,-0.116%,0%,0.00,1.7,6,0,2B,9/26/2010
['Casey Blake3B'],Los Angeles Dodgers,3,0,0,0,1,2,4,.243,.317,.393,.709,18,9,-0.081,1.14,0.007,-0.088%,0%,0.00,-0.7,0,0,,9/26/2010
['Russ MitchellLF'],Los Angeles Dodgers,4,1,2,0,0,1,4,.139,.135,.306,.441,14,9,0.017,1.02,0.068,-0.051%,0%,0.00,0.0,0,0,,9/26/2010
['Reed JohnsonRF'],Los Angeles Dodgers,4,0,0,0,0,1,4,.269,.294,.371,.665,8,7,-0.106,1.24,0.000,-0.106%,0%,0.00,-1.0,2,0,,9/26/2010
['Rod BarajasC'],Los Angeles Dodgers,4,1,2,2,0,1,4,.237,.283,.448,.731,10,7,0.156,1.27,0.234,-0.078%,0%,0.00,1.5,15,0,"HR,2B",9/26/2010
['Chad BillingsleyP'],Los Angeles Dodgers,3,0,1,0,0,2,3,.153,.206,.169,.376,11,9,0.004,1.09,0.052,-0.048%,0%,0.00,0.1,0,0,,9/26/2010
['Andre EthierPH'],Los Angeles Dodgers,1,0,0,0,0,0,1,.287,.359,.495,.854,4,3,-0.004,0.15,0.000,-0.004%,0%,0.00,-0.1,,,,9/26/2010
['Ronald BelisarioP'],Los Angeles Dodgers,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,9/26/2010
['George SherrillP'],Los Angeles Dodgers,0,0,0,0,0,0,0,,1.000,,,,,,,,,,,,0,0,,9/26/2010
['Jonathan BroxtonP'],Los Angeles Dodgers,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,9/26/2010
Team Totals,Los Angeles Dodgers,38,4,11,4,2,8,40,.289,.325,.421,.746,143,91,-0.113,1.21,0.799,-0.912%,0.00%,0.00,-0.6,24,5,,9/26/2010
['Elvis AndrusSS'],Texas Rangers,3,0,0,0,1,0,4,.316,.355,.368,.723,21,10,-0.035,1.30,0.061,-0.095,-1.02%,69.04,-0.4,1,3,SB,10/28/2010
['Michael Young3B'],Texas Rangers,4,0,1,0,0,0,4,.236,.263,.345,.609,15,10,0.028,1.60,0.124,-0.096,0.81%,85.08,0.0,,1,,10/28/2010
['Josh HamiltonCF'],Texas Rangers,4,0,1,0,0,0,4,.217,.368,.500,.868,10,8,-0.010,1.15,0.060,-0.070,-0.29%,60.94,-0.2,4,,,10/28/2010
['Nelson CruzRF'],Texas Rangers,4,0,0,0,0,2,4,.327,.365,.755,1.120,15,12,-0.164,1.02,0.000,-0.164,-4.79%,54.04,-1.3,3,,,10/28/2010
['Ian Kinsler2B'],Texas Rangers,4,0,1,0,0,0,4,.326,.396,.609,1.005,14,10,-0.031,1.31,0.084,-0.115,-0.46%,69.44,-0.3,1,2,2B,10/28/2010
['David MurphyLF'],Texas Rangers,3,0,0,0,1,0,4,.208,.345,.375,.720,18,10,-0.111,0.76,0.000,-0.111,-3.53%,40.36,-0.5,,,,10/28/2010
['Matt TreanorC'],Texas Rangers,3,0,0,0,0,0,3,.200,.429,.500,.929,11,7,-0.102,1.31,0.000,-0.102,-3.11%,69.40,-0.7,8,1,,10/28/2010
['Jeff FrancoeurPH'],Texas Rangers,1,0,0,0,0,0,1,.158,.158,.211,.368,3,2,0.000,0.00,0.000,0.000,0%,0.00,-0.3,,,,10/28/2010
['Mitch Moreland1B'],Texas Rangers,2,0,1,0,1,0,3,.342,.390,.447,.838,10,5,0.020,1.04,0.040,-0.020,0.59%,55.41,0.3,7,,IW,10/28/2010
['C.J. WilsonP'],Texas Rangers,1,0,0,0,0,0,2,.000,.000,.000,.000,4,3,-0.077,1.79,0.000,-0.077,-2.26%,95.33,-0.6,,,SH,10/28/2010
['Darren OliverP'],Texas Rangers,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,10/28/2010
['Julio BorbonPH'],Texas Rangers,1,0,0,0,0,0,1,.111,.111,.111,.222,2,2,-0.035,1.41,0.000,-0.035,-1.04%,74.89,-0.2,,,,10/28/2010
"[""Darren O'DayP""]",Texas Rangers,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,10/28/2010
['Derek HollandP'],Texas Rangers,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,10/28/2010
['Mark LoweP'],Texas Rangers,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,10/28/2010
['Michael KirkmanP'],Texas Rangers,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,10/28/2010
Team Totals,Texas Rangers,30,0,4,0,3,2,34,.133,.212,.167,.379,123,79,-0.517,1.20,0.369,-0.885,-15.10%,63.52,-4.3,24,7,,10/28/2010
['Jordan SchaferCF'],Houston Astros,5,0,1,0,0,2,6,.235,.310,.319,.630,15,10,-0.199,1.84,0.027,-0.226%,-0.00%,0.02,-0.8,2,0,SH,7/14/2012
['Jose Altuve2B'],Houston Astros,5,0,1,0,0,1,5,.298,.338,.429,.768,18,12,-0.147,1.39,0.014,-0.161%,-0.00%,0.02,-0.9,1,6,,7/14/2012
['Jed LowrieSS'],Houston Astros,2,0,0,0,0,0,2,.253,.343,.456,.799,10,7,-0.034,0.66,0.000,-0.034%,0%,0.01,-0.3,0,0,,7/14/2012
['Brian BixlerSS'],Houston Astros,3,0,0,0,0,3,3,.225,.286,.380,.666,13,9,-0.103,1.36,0.000,-0.103%,-0.00%,0.02,-0.6,0,2,,7/14/2012
['J.D. MartinezLF'],Houston Astros,5,0,1,0,0,1,5,.240,.316,.394,.710,17,11,-0.097,1.32,0.039,-0.136%,-0.00%,0.02,-0.4,4,0,,7/14/2012
