,Team,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Date
['Chase Utley2B'],Los Angeles Dodgers,2,0,1,0,2,1,4,.248,.348,.416,.764,25,13,0.083,0.98,0.104,-0.021%,0.06%,1.26,0.6,2,1,,6/1/2017
['Enrique Hernandez3B'],Los Angeles Dodgers,3,0,0,0,0,1,3,.248,.317,.514,.831,7,5,-0.090,1.37,0.000,-0.090%,-0.07%,1.76,-0.8,0,3,,6/1/2017
['Grant DaytonP'],Los Angeles Dodgers,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,6/1/2017
['Brandon MorrowP'],Los Angeles Dodgers,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,6/1/2017
['Yasmani GrandalPH'],Los Angeles Dodgers,1,0,0,0,0,1,1,.285,.349,.468,.817,5,3,-0.050,2.10,0.000,-0.050%,-0.04%,2.71,-0.3,,,,6/1/2017
['Austin BarnesC'],Los Angeles Dodgers,3,0,1,0,1,0,4,.276,.391,.534,.926,20,11,-0.006,1.36,0.087,-0.092%,-0.00%,1.76,-0.1,12,1,,6/1/2017
['Yasiel PuigRF'],Los Angeles Dodgers,3,0,1,0,0,1,3,.231,.299,.407,.706,11,8,-0.057,1.78,0.048,-0.105%,-0.04%,2.29,-0.5,0,0,,6/1/2017
['Brandon McCarthyP'],Los Angeles Dodgers,1,0,0,0,0,1,1,.083,.267,.083,.350,6,4,-0.025,0.97,0.000,-0.025%,-0.02%,1.25,-0.2,0,1,,6/1/2017
['Brett EibnerPH'],Los Angeles Dodgers,1,0,0,0,0,0,1,.208,.269,.458,.728,6,3,-0.044,1.92,0.000,-0.044%,-0.03%,2.47,-0.4,,,,6/1/2017
['Josh FieldsP'],Los Angeles Dodgers,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,6/1/2017
['Sergio RomoP'],Los Angeles Dodgers,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,6/1/2017
['Logan Forsythe3B'],Los Angeles Dodgers,1,0,0,0,0,0,1,.243,.379,.329,.708,6,4,-0.077,1.80,0.000,-0.077%,-0.06%,2.32,-0.5,0,0,GDP,6/1/2017
Team Totals,Los Angeles Dodgers,30,0,5,0,4,9,34,.167,.265,.200,.465,159,98,-0.555,1.35,0.424,-0.978%,-0.43%,1.75,-4.6,24,10,,6/1/2017
['Dexter FowlerCF'],St. Louis Cardinals,4,1,0,0,1,2,5,.223,.316,.429,.745,27,15,-0.068,1.38,0.075,-0.143%,-0.05%,1.75,-0.3,1,2,SB,6/4/2017
['Matt Carpenter1B'],St. Louis Cardinals,3,1,0,0,1,1,4,.213,.349,.408,.757,18,10,-0.035,1.14,0.042,-0.076%,-0.03%,1.44,-0.2,7,0,,6/4/2017
['Stephen PiscottyRF'],St. Louis Cardinals,3,1,1,3,1,0,4,.241,.377,.375,.752,17,11,0.205,1.11,0.245,-0.040%,0.16%,1.41,1.8,2,0,HR,6/4/2017
['Jedd Gyorko3B'],St. Louis Cardinals,4,1,1,0,0,1,4,.319,.367,.552,.919,12,8,-0.032,0.91,0.042,-0.073%,-0.02%,1.15,-0.1,1,2,SB,6/4/2017
['Yadier MolinaC'],St. Louis Cardinals,4,1,1,0,0,1,4,.250,.292,.391,.683,14,9,0.045,1.70,0.145,-0.100%,0.03%,2.16,0.3,9,0,SB,6/4/2017
['Tommy PhamLF'],St. Louis Cardinals,3,1,0,0,1,1,4,.294,.386,.518,.904,20,9,-0.024,1.21,0.056,-0.080%,-0.02%,1.53,-0.3,0,0,,6/4/2017
