,Year,Player,League,Details
327,1880,Tim Keefe,NL,"TRO 6-6, 0.86, 39 SO"
328,1879,Tommy Bond,NL,"BSN 43-19, 1.96, 155 SO"
329,1878,John Ward,NL,"PRO 22-13, 1.51, 116 SO"
330,1877,Tommy Bond,NL,"BSN 40-17, 2.11, 170 SO"
331,1876,George Bradley,NL,"STL 45-19, 1.23, 103 SO"
332,1875,Pud Galvin,NA,"STL 4-2 (1 SV), 1.16, 8 SO"
333,1874,Dick McBride,NA,"ATH 33-22, 1.64, 37 SO"
334,1873,Cherokee Fisher,NA,"ATH 3-4 (2 SV), 1.81, 14 SO"
335,1872,Cherokee Fisher,NA,"BAL 10-1 (1 SV), 1.80, 20 SO"
336,1871,George Zettlein,NA,"CHI 18-9, 2.73, 22 SO"
