,Name,,Voted By,Inducted As,Votes,% of Ballots,Year Elected
258,Jackie Robinson,1919-1972,BBWAA,Player,124.0,77.5%,1962
259,Edd Roush,1893-1988,Veterans,Player,,,1962
260,Max Carey,1890-1976,Veterans,Player,,,1961
261,Billy Hamilton,1866-1940,Veterans,Player,,,1961
262,Zack Wheat,1888-1972,Veterans,Player,,,1959
263,Sam Crawford,1880-1968,Veterans,Player,,,1957
264,Joe McCarthy,1887-1978,Veterans,Manager,,,1957
265,Joe Cronin,1906-1984,BBWAA,Player,152.0,78.8%,1956
266,Hank Greenberg,1911-1986,BBWAA,Player,164.0,85.0%,1956
267,Home Run Baker,1886-1963,Veterans,Player,,,1955
268,Joe DiMaggio,1914-1999,BBWAA,Player,223.0,88.8%,1955
269,Gabby Hartnett,1900-1972,BBWAA,Player,195.0,77.7%,1955
270,Ted Lyons,1900-1986,BBWAA,Player,217.0,86.5%,1955
271,Ray Schalk,1892-1970,Veterans,Player,,,1955
272,Dazzy Vance,1891-1961,BBWAA,Player,205.0,81.7%,1955
273,Bill Dickey,1907-1993,BBWAA,Player,202.0,80.2%,1954
274,Rabbit Maranville,1891-1954,BBWAA,Player,209.0,82.9%,1954
275,Bill Terry,1898-1989,BBWAA,Player,195.0,77.4%,1954
276,Ed Barrow,1868-1953,Veterans,Pioneer/Executive,,,1953
277,Charles Bender,1884-1954,Veterans,Player,,,1953
278,Tommy Connolly,1870-1961,Veterans,Umpire,,,1953
279,Dizzy Dean,1910-1974,BBWAA,Player,209.0,79.2%,1953
280,Bill Klem,1874-1951,Veterans,Umpire,,,1953
281,Al Simmons,1902-1956,BBWAA,Player,199.0,75.4%,1953
282,Bobby Wallace,1873-1960,Veterans,Player,,,1953
283,Harry Wright,1835-1895,Veterans,Pioneer/Executive,,,1953
284,Harry Heilmann,1894-1951,BBWAA,Player,203.0,86.8%,1952
285,Paul Waner,1903-1965,BBWAA,Player,195.0,83.3%,1952
286,Jimmie Foxx,1907-1967,BBWAA,Player,179.0,79.2%,1951
287,Mel Ott,1909-1958,BBWAA,Player,197.0,87.2%,1951
288,Mordecai Brown,1876-1948,Old Timers,Player,,,1949
289,Charlie Gehringer,1903-1993,Run Off,Player,159.0,85.0%,1949
290,Kid Nichols,1869-1953,Old Timers,Player,,,1949
291,Herb Pennock,1894-1948,BBWAA,Player,94.0,77.7%,1948
292,Pie Traynor,1898-1972,BBWAA,Player,93.0,76.9%,1948
293,Mickey Cochrane,1903-1962,BBWAA,Player,128.0,79.5%,1947
294,Frankie Frisch,1897-1973,BBWAA,Player,136.0,84.5%,1947
295,Lefty Grove,1900-1975,BBWAA,Player,123.0,76.4%,1947
296,Carl Hubbell,1903-1988,BBWAA,Player,140.0,87.0%,1947
297,Jesse Burkett,1868-1953,Old Timers,Player,,,1946
298,Frank Chance,1876-1924,Old Timers,Player,,,1946
299,Jack Chesbro,1874-1931,Old Timers,Player,,,1946
300,Johnny Evers,1881-1947,Old Timers,Player,,,1946
301,Clark Griffith,1869-1955,Old Timers,Pioneer/Executive,,,1946
302,Tommy McCarthy,1863-1922,Old Timers,Player,,,1946
303,Joe McGinnity,1871-1929,Old Timers,Player,,,1946
304,Eddie Plank,1875-1926,Old Timers,Player,,,1946
305,Joe Tinker,1880-1948,Old Timers,Player,,,1946
306,Rube Waddell,1876-1914,Old Timers,Player,,,1946
307,Ed Walsh,1881-1959,Old Timers,Player,,,1946
308,Roger Bresnahan,1879-1944,Old Timers,Player,,,1945
309,Dan Brouthers,1858-1932,Old Timers,Player,,,1945
310,Fred Clarke,1872-1960,Old Timers,Player,,,1945
311,Jimmy Collins,1870-1943,Old Timers,Player,,,1945
312,Ed Delahanty,1867-1903,Old Timers,Player,,,1945
313,Hugh Duffy,1866-1954,Old Timers,Player,,,1945
314,Hughie Jennings,1869-1928,Old Timers,Player,,,1945
315,King Kelly,1857-1894,Old Timers,Player,,,1945
316,Jim O'Rourke,1850-1919,Old Timers,Player,,,1945
317,Wilbert Robinson,1864-1934,Old Timers,Manager,,,1945
318,Kenesaw Mountain Landis,1866-1944,Old Timers,Pioneer/Executive,,,1944
319,Rogers Hornsby,1896-1963,BBWAA,Player,182.0,78.1%,1942
320,Cap Anson,1852-1922,Old Timers,Player,,,1939
321,Eddie Collins,1887-1951,BBWAA,Player,213.0,77.7%,1939
322,Charlie Comiskey,1859-1931,Old Timers,Pioneer/Executive,,,1939
323,Candy Cummings,1848-1924,Old Timers,Pioneer/Executive,,,1939
324,Buck Ewing,1859-1906,Old Timers,Player,,,1939
325,Lou Gehrig,1903-1941,Special Election,Player,,,1939
326,Willie Keeler,1872-1923,BBWAA,Player,207.0,75.5%,1939
327,Old Hoss Radbourn,1854-1897,Old Timers,Player,,,1939
328,George Sisler,1893-1973,BBWAA,Player,235.0,85.8%,1939
329,Al Spalding,1850-1915,Old Timers,Pioneer/Executive,,,1939
330,Grover Alexander,1887-1950,BBWAA,Player,212.0,80.9%,1938
331,Alexander Cartwright,1820-1892,Centennial,Pioneer/Executive,,,1938
332,Henry Chadwick,1824-1908,Centennial,Pioneer/Executive,,,1938
333,Morgan Bulkeley,1837-1922,Centennial,Pioneer/Executive,,,1937
334,Ban Johnson,1865-1931,Centennial,Pioneer/Executive,,,1937
335,Nap Lajoie,1874-1959,BBWAA,Player,168.0,83.6%,1937
336,Connie Mack,1862-1956,Centennial,Manager,,,1937
337,John McGraw,1873-1934,Centennial,Manager,,,1937
338,Tris Speaker,1888-1958,BBWAA,Player,165.0,82.1%,1937
339,George Wright,1847-1937,Centennial,Pioneer/Executive,,,1937
340,Cy Young,1867-1955,BBWAA,Player,153.0,76.1%,1937
341,Ty Cobb,1886-1961,BBWAA,Player,222.0,98.2%,1936
342,Walter Johnson,1887-1946,BBWAA,Player,189.0,83.6%,1936
343,Christy Mathewson,1880-1925,BBWAA,Player,205.0,90.7%,1936
344,Babe Ruth,1895-1948,BBWAA,Player,215.0,95.1%,1936
345,Honus Wagner,1874-1955,BBWAA,Player,215.0,95.1%,1936
