,Year,Player,League,Details
135,1955,Richie Ashburn,NL,PHI 140 G .338/.449/.448
136,1954,Bobby Avila,AL,CLE 143 G .341/.402/.477
137,1954,Willie Mays,NL,NYG 151 G .345/.411/.667
138,1953,Mickey Vernon,AL,WSH 152 G .337/.403/.518
139,1953,Carl Furillo,NL,BRO 132 G .344/.393/.580
140,1952,Ferris Fain,AL,PHA 145 G .327/.438/.429
141,1952,Stan Musial,NL,STL 154 G .336/.432/.538
142,1951,Ferris Fain,AL,PHA 117 G .344/.451/.471
143,1951,Stan Musial,NL,STL 152 G .355/.449/.614
144,1950,Billy Goodman,AL,BOS 110 G .354/.427/.455
145,1950,Stan Musial,NL,STL 146 G .346/.437/.596
146,1949,George Kell,AL,DET 134 G .343/.424/.467
147,1949,Jackie Robinson,NL,BRO 156 G .342/.432/.528
148,1948,Ted Williams,AL,BOS 137 G .369/.497/.615
149,1948,Artie Wilson,NAL,BBB 29 G .433/.500/.592
150,,Stan Musial,NL,STL 155 G .376/.450/.702
151,,Lester Lockett,NN2,BEG 58 G .362/.402/.536
152,1947,Ted Williams,AL,BOS 156 G .343/.499/.634
