,Lineup Spot,Player,Position,Year
545,,Eddie Miller,SS,1943: Game 1
546,,Dixie Walker,LF,1943: Game 1
547,,Vince DiMaggio,CF,1943: Game 1
548,,Augie Galan,CF,1943: Game 1
549,,Mel Ott,RF,1943: Game 1
550,,Ace Adams,P,1943: Game 1
551,,Al Javery,P,1943: Game 1
552,,Max Lanier,P,1943: Game 1
553,,Claude Passeau,P,1943: Game 1
554,,Howie Pollet,P,1943: Game 1
555,,Rip Sewell,P,1943: Game 1
556,,Johnny Vander Meer,P,1943: Game 1
557,1,George Case,RF,1943: Game 1
558,2,Ken Keltner,3B,1943: Game 1
559,3,Dick Wakefield,LF,1943: Game 1
560,4,Vern Stephens,SS,1943: Game 1
561,5,Dick Siebert,1B,1943: Game 1
562,6,Chet Laabs,CF,1943: Game 1
563,7,Jake Early,C,1943: Game 1
564,8,Bobby Doerr,2B,1943: Game 1
565,9,Dutch Leonard,P,1943: Game 1
566,,Manager,,1943: Game 1
567,,Joe McCarthy,,1943: Game 1
568,,Reserves,,1943: Game 1
569,,Bill Dickey,C,1943: Game 1
570,,Buddy Rosar,C,1943: Game 1
571,,Rudy York,1B,1943: Game 1
572,,Joe Gordon,2B,1943: Game 1
573,,Luke Appling,SS,1943: Game 1
574,,Lou Boudreau,SS,1943: Game 1
575,,Jeff Heath,LF,1943: Game 1
576,,Bob Johnson,LF,1943: Game 1
577,,Charlie Keller,LF,1943: Game 1
578,,Johnny Lindell,RF,1943: Game 1
579,,Jim Bagby,P,1943: Game 1
580,,Tiny Bonham,P,1943: Game 1
581,,Spud Chandler,P,1943: Game 1
582,,Tex Hughson,P,1943: Game 1
583,,Oscar Judd,P,1943: Game 1
584,,Hal Newhouser,P,1943: Game 1
585,,Al Smith,P,1943: Game 1
586,1,Thurman Tucker,CF,1944: Game 1
587,2,Stan Spence,RF,1944: Game 1
588,3,George McQuinn,1B,1944: Game 1
589,4,Vern Stephens,SS,1944: Game 1
590,5,Bob Johnson,LF,1944: Game 1
591,6,Ken Keltner,3B,1944: Game 1
592,7,Bobby Doerr,2B,1944: Game 1
593,8,Rollie Hemsley,C,1944: Game 1
594,9,Hank Borowy,P,1944: Game 1
595,,Manager,,1944: Game 1
596,,Joe McCarthy,,1944: Game 1
597,,Reserves,,1944: Game 1
598,,Rick Ferrell,C,1944: Game 1
599,,Frankie Hayes,C,1944: Game 1
600,,Rudy York,1B,1944: Game 1
601,,Pinky Higgins,3B,1944: Game 1
602,,Lou Boudreau,SS,1944: Game 1
603,,George Case,LF,1944: Game 1
604,,Oris Hockett,CF,1944: Game 1
605,,Roy Cullenbine,RF,1944: Game 1
606,,Pete Fox,RF,1944: Game 1
607,,Orval Grove,P,1944: Game 1
608,,Tex Hughson,P,1944: Game 1
609,,Dutch Leonard,P,1944: Game 1
610,,Bob Muncrief,P,1944: Game 1
611,,Hal Newhouser,P,1944: Game 1
612,,Bobo Newsom,P,1944: Game 1
613,,Joe Page,P,1944: Game 1
614,,Dizzy Trout,P,1944: Game 1
615,1,Augie Galan,LF,1944: Game 1
616,2,Phil Cavarretta,1B,1944: Game 1
617,3,Stan Musial,CF,1944: Game 1
618,4,Walker Cooper,C,1944: Game 1
619,5,Dixie Walker,RF,1944: Game 1
620,6,Bob Elliott,3B,1944: Game 1
621,7,Connie Ryan,2B,1944: Game 1
622,8,Marty Marion,SS,1944: Game 1
623,9,Bucky Walters,P,1944: Game 1
624,,Manager,,1944: Game 1
625,,Billy Southworth,,1944: Game 1
626,,Reserves,,1944: Game 1
627,,Ray Mueller,C,1944: Game 1
628,,Mickey Owen,C,1944: Game 1
629,,Frank McCormick,1B,1944: Game 1
630,,Don Johnson,2B,1944: Game 1
