,Lineup Spot,Player,Position,Year
2218,,Sam McDowell,P,1968: Game 1
2219,,Denny McLain,P,1968: Game 1
2220,,Blue Moon Odom,P,1968: Game 1
2221,,Jose Santiago,P,1968: Game 1
2222,,Mel Stottlemyre,P,1968: Game 1
2223,1,Willie Mays,CF,1968: Game 1
2224,2,Curt Flood,LF,1968: Game 1
2225,3,Willie McCovey,1B,1968: Game 1
2226,4,Henry Aaron,RF,1968: Game 1
2227,5,Ron Santo,3B,1968: Game 1
2228,6,Tommy Helms,2B,1968: Game 1
2229,7,Jerry Grote,C,1968: Game 1
2230,8,Don Kessinger,SS,1968: Game 1
2231,9,Don Drysdale,P,1968: Game 1
2232,,Manager,,1968: Game 1
2233,,Red Schoendienst,,1968: Game 1
2234,,Reserves,,1968: Game 1
2235,,Johnny Bench,C,1968: Game 1
2236,,Tom Haller,C,1968: Game 1
2237,,Rusty Staub,1B,1968: Game 1
2238,,Julian Javier,2B,1968: Game 1
2239,,Tony Perez,3B,1968: Game 1
2240,,Gene Alley,SS,1968: Game 1
2241,,Leo Cardenas,SS,1968: Game 1
2242,,Billy Williams,LF,1968: Game 1
2243,,Felipe Alou,CF,1968: Game 1
2244,,Matty Alou,CF,1968: Game 1
2245,,Pete Rose,RF,1968: Game 1
2246,,Steve Carlton,P,1968: Game 1
2247,,Woodie Fryman,P,1968: Game 1
2248,,Bob Gibson,P,1968: Game 1
2249,,Jerry Koosman,P,1968: Game 1
2250,,Juan Marichal,P,1968: Game 1
2251,,Ron Reed,P,1968: Game 1
2252,,Tom Seaver,P,1968: Game 1
2253,1,Matty Alou,CF,1969: Game 1
2254,2,Don Kessinger,SS,1969: Game 1
2255,3,Henry Aaron,RF,1969: Game 1
2256,4,Willie McCovey,1B,1969: Game 1
2257,5,Ron Santo,3B,1969: Game 1
2258,6,Cleon Jones,LF,1969: Game 1
2259,7,Johnny Bench,C,1969: Game 1
2260,8,Felix Millan,2B,1969: Game 1
2261,9,Steve Carlton,P,1969: Game 1
2262,,Manager,,1969: Game 1
2263,,Red Schoendienst,,1969: Game 1
2264,,Reserves,,1969: Game 1
2265,,Chris Cannizzaro,C,1969: Game 1
2266,,Randy Hundley,C,1969: Game 1
2267,,Ernie Banks,1B,1969: Game 1
2268,,Lee May,1B,1969: Game 1
2269,,Glenn Beckert,2B,1969: Game 1
2270,,Tony Perez,3B,1969: Game 1
2271,,Denis Menke,SS,1969: Game 1
2272,,Willie Mays,CF,1969: Game 1
2273,,Pete Rose,CF,1969: Game 1
2274,,Roberto Clemente,RF,1969: Game 1
2275,,Rusty Staub,RF,1969: Game 1
2276,,Larry Dierker,P,1969: Game 1
2277,,Bob Gibson,P,1969: Game 1
2278,,Grant Jackson,P,1969: Game 1
2279,,Jerry Koosman,P,1969: Game 1
2280,,Juan Marichal,P,1969: Game 1
2281,,Phil Niekro,P,1969: Game 1
2282,,Tom Seaver,P,1969: Game 1
2283,,Bill Singer,P,1969: Game 1
2284,1,Rod Carew,2B,1969: Game 1
2285,2,Reggie Jackson,CF,1969: Game 1
2286,3,Frank Robinson,RF,1969: Game 1
2287,4,Boog Powell,1B,1969: Game 1
2288,5,Frank Howard,LF,1969: Game 1
2289,6,Sal Bando,3B,1969: Game 1
2290,7,Rico Petrocelli,SS,1969: Game 1
2291,8,Bill Freehan,C,1969: Game 1
2292,9,Mel Stottlemyre,P,1969: Game 1
2293,,Manager,,1969: Game 1
2294,,Mayo Smith,,1969: Game 1
2295,,Reserves,,1969: Game 1
2296,,Ellie Rodriguez,C,1969: Game 1
2297,,John Roseboro,C,1969: Game 1
2298,,Harmon Killebrew,1B,1969: Game 1
2299,,Don Mincher,1B,1969: Game 1
2300,,Mike Andrews,2B,1969: Game 1
2301,,Davey Johnson,2B,1969: Game 1
2302,,Brooks Robinson,3B,1969: Game 1
2303,,Jim Fregosi,SS,1969: Game 1
2304,,Carlos May,LF,1969: Game 1
2305,,Roy White,LF,1969: Game 1
2306,,Carl Yastrzemski,LF,1969: Game 1
2307,,Paul Blair,CF,1969: Game 1
2308,,Reggie Smith,CF,1969: Game 1
2309,,Mike Hegan,RF,1969: Game 1
2310,,Tony Oliva,RF,1969: Game 1
2311,,Ray Culp,P,1969: Game 1
2312,,Darold Knowles,P,1969: Game 1
2313,,Mickey Lolich,P,1969: Game 1
2314,,Sam McDowell,P,1969: Game 1
2315,,Denny McLain,P,1969: Game 1
2316,,Dave McNally,P,1969: Game 1
2317,,Blue Moon Odom,P,1969: Game 1
2318,1,Luis Aparicio,SS,1970: Game 1
2319,2,Carl Yastrzemski,CF,1970: Game 1
2320,3,Frank Robinson,RF,1970: Game 1
2321,4,Boog Powell,1B,1970: Game 1
2322,5,Harmon Killebrew,3B,1970: Game 1
2323,6,Frank Howard,LF,1970: Game 1
2324,7,Davey Johnson,2B,1970: Game 1
2325,8,Bill Freehan,C,1970: Game 1
2326,9,Jim Palmer,P,1970: Game 1
2327,,Manager,,1970: Game 1
2328,,Earl Weaver,,1970: Game 1
2329,,Reserves,,1970: Game 1
2330,,Ray Fosse,C,1970: Game 1
2331,,Jerry Moses,C,1970: Game 1
2332,,Sandy Alomar,2B,1970: Game 1
2333,,Rod Carew,2B,1970: Game 1
2334,,Tommy Harper,3B,1970: Game 1
2335,,Brooks Robinson,3B,1970: Game 1
2336,,Jim Fregosi,SS,1970: Game 1
2337,,Willie Horton,LF,1970: Game 1
2338,,Alex Johnson,LF,1970: Game 1
2339,,Roy White,LF,1970: Game 1
2340,,Amos Otis,CF,1970: Game 1
2341,,Tony Oliva,RF,1970: Game 1
2342,,Mike Cuellar,P,1970: Game 1
2343,,Catfish Hunter,P,1970: Game 1
2344,,Sam McDowell,P,1970: Game 1
2345,,Dave McNally,P,1970: Game 1
2346,,Jim Perry,P,1970: Game 1
2347,,Fritz Peterson,P,1970: Game 1
2348,,Mel Stottlemyre,P,1970: Game 1
2349,,Clyde Wright,P,1970: Game 1
2350,1,Willie Mays,CF,1970: Game 1
2351,2,Dick Allen,1B,1970: Game 1
2352,3,Henry Aaron,RF,1970: Game 1
2353,4,Tony Perez,3B,1970: Game 1
2354,5,Rico Carty,LF,1970: Game 1
2355,6,Johnny Bench,C,1970: Game 1
2356,7,Don Kessinger,SS,1970: Game 1
2357,8,Glenn Beckert,2B,1970: Game 1
2358,9,Tom Seaver,P,1970: Game 1
2359,,Manager,,1970: Game 1
2360,,Gil Hodges,,1970: Game 1
2361,,Reserves,,1970: Game 1
2362,,Dick Dietz,C,1970: Game 1
2363,,Joe Torre,C,1970: Game 1
2364,,Willie McCovey,1B,1970: Game 1
2365,,Felix Millan,2B,1970: Game 1
2366,,Joe Morgan,2B,1970: Game 1
2367,,Billy Grabarkewitz,3B,1970: Game 1
2368,,Bud Harrelson,SS,1970: Game 1
2369,,Denis Menke,SS,1970: Game 1
2370,,Cito Gaston,CF,1970: Game 1
2371,,Jim Hickman,CF,1970: Game 1
2372,,Roberto Clemente,RF,1970: Game 1
2373,,Pete Rose,RF,1970: Game 1
2374,,Rusty Staub,RF,1970: Game 1
2375,,Bob Gibson,P,1970: Game 1
2376,,Joe Hoerner,P,1970: Game 1
2377,,Jim Merritt,P,1970: Game 1
2378,,Claude Osteen,P,1970: Game 1
2379,,Gaylord Perry,P,1970: Game 1
2380,,Wayne Simpson,P,1970: Game 1
2381,,Hoyt Wilhelm,P,1970: Game 1
2382,1,Willie Mays,CF,1971: Game 1
2383,2,Henry Aaron,RF,1971: Game 1
2384,3,Joe Torre,3B,1971: Game 1
2385,4,Willie Stargell,LF,1971: Game 1
2386,5,Willie McCovey,1B,1971: Game 1
2387,6,Johnny Bench,C,1971: Game 1
2388,7,Glenn Beckert,2B,1971: Game 1
2389,8,Bud Harrelson,SS,1971: Game 1
2390,9,Dock Ellis,P,1971: Game 1
2391,,Manager,,1971: Game 1
2392,,Sparky Anderson,,1971: Game 1
2393,,Reserves,,1971: Game 1
2394,,Manny Sanguillen,C,1971: Game 1
2395,,Nate Colbert,1B,1971: Game 1
2396,,Lee May,1B,1971: Game 1
2397,,Felix Millan,2B,1971: Game 1
2398,,Ron Santo,3B,1971: Game 1
2399,,Don Kessinger,SS,1971: Game 1
2400,,Lou Brock,LF,1971: Game 1
2401,,Willie Davis,CF,1971: Game 1
2402,,Bobby Bonds,RF,1971: Game 1
2403,,Roberto Clemente,RF,1971: Game 1
2404,,Pete Rose,RF,1971: Game 1
2405,,Rusty Staub,RF,1971: Game 1
2406,,Steve Carlton,P,1971: Game 1
2407,,Clay Carroll,P,1971: Game 1
2408,,Larry Dierker,P,1971: Game 1
2409,,Fergie Jenkins,P,1971: Game 1
2410,,Juan Marichal,P,1971: Game 1
2411,,Tom Seaver,P,1971: Game 1
2412,,Don Wilson,P,1971: Game 1
2413,,Rick Wise,P,1971: Game 1
2414,1,Rod Carew,2B,1971: Game 1
2415,2,Bobby Murcer,CF,1971: Game 1
2416,3,Carl Yastrzemski,LF,1971: Game 1
2417,4,Frank Robinson,RF,1971: Game 1
2418,5,Norm Cash,1B,1971: Game 1
2419,6,Brooks Robinson,3B,1971: Game 1
2420,7,Bill Freehan,C,1971: Game 1
2421,8,Luis Aparicio,SS,1971: Game 1
2422,9,Vida Blue,P,1971: Game 1
2423,,Manager,,1971: Game 1
2424,,Earl Weaver,,1971: Game 1
2425,,Reserves,,1971: Game 1
2426,,Dave Duncan,C,1971: Game 1
2427,,Ray Fosse,C,1971: Game 1
2428,,Thurman Munson,C,1971: Game 1
2429,,Boog Powell,1B,1971: Game 1
2430,,Cookie Rojas,2B,1971: Game 1
2431,,Harmon Killebrew,3B,1971: Game 1
2432,,Bill Melton,3B,1971: Game 1
2433,,Leo Cardenas,SS,1971: Game 1
2434,,Don Buford,LF,1971: Game 1
2435,,Frank Howard,LF,1971: Game 1
2436,,Amos Otis,CF,1971: Game 1
2437,,Reggie Jackson,RF,1971: Game 1
2438,,Al Kaline,RF,1971: Game 1
2439,,Tony Oliva,RF,1971: Game 1
2440,,Mike Cuellar,P,1971: Game 1
2441,,Mickey Lolich,P,1971: Game 1
2442,,Sam McDowell,P,1971: Game 1
2443,,Andy Messersmith,P,1971: Game 1
2444,,Jim Palmer,P,1971: Game 1
2445,,Marty Pattin,P,1971: Game 1
2446,,Jim Perry,P,1971: Game 1
2447,,Sonny Siebert,P,1971: Game 1
2448,,Wilbur Wood,P,1971: Game 1
2449,1,Rod Carew,2B,1972: Game 1
2450,2,Bobby Murcer,CF,1972: Game 1
2451,3,Reggie Jackson,RF,1972: Game 1
2452,4,Dick Allen,1B,1972: Game 1
2453,5,Carl Yastrzemski,LF,1972: Game 1
2454,6,Bobby Grich,SS,1972: Game 1
2455,7,Brooks Robinson,3B,1972: Game 1
2456,8,Bill Freehan,C,1972: Game 1
2457,9,Jim Palmer,P,1972: Game 1
2458,,Manager,,1972: Game 1
2459,,Earl Weaver,,1972: Game 1
2460,,Reserves,,1972: Game 1
2461,,Carlton Fisk,C,1972: Game 1
2462,,Ellie Rodriguez,C,1972: Game 1
2463,,Norm Cash,1B,1972: Game 1
2464,,Cookie Rojas,2B,1972: Game 1
2465,,Sal Bando,3B,1972: Game 1
2466,,Luis Aparicio,SS,1972: Game 1
2467,,Bert Campaneris,SS,1972: Game 1
2468,,Toby Harrah,SS,1972: Game 1
2469,,Freddie Patek,SS,1972: Game 1
2470,,Carlos May,LF,1972: Game 1
2471,,Lou Piniella,LF,1972: Game 1
2472,,Joe Rudi,LF,1972: Game 1
2473,,Amos Otis,CF,1972: Game 1
2474,,Richie Scheinblum,RF,1972: Game 1
2475,,Reggie Smith,RF,1972: Game 1
2476,,Joe Coleman,P,1972: Game 1
2477,,Pat Dobson,P,1972: Game 1
2478,,Ken Holtzman,P,1972: Game 1
2479,,Catfish Hunter,P,1972: Game 1
2480,,Mickey Lolich,P,1972: Game 1
2481,,Dave McNally,P,1972: Game 1
2482,,Gaylord Perry,P,1972: Game 1
2483,,Nolan Ryan,P,1972: Game 1
2484,,Wilbur Wood,P,1972: Game 1
2485,1,Joe Morgan,2B,1972: Game 1
2486,2,Willie Mays,CF,1972: Game 1
2487,3,Henry Aaron,RF,1972: Game 1
2488,4,Willie Stargell,LF,1972: Game 1
2489,5,Johnny Bench,C,1972: Game 1
2490,6,Lee May,1B,1972: Game 1
2491,7,Joe Torre,3B,1972: Game 1
2492,8,Don Kessinger,SS,1972: Game 1
2493,9,Bob Gibson,P,1972: Game 1
2494,,Manager,,1972: Game 1
2495,,Danny Murtaugh,,1972: Game 1
2496,,Reserves,,1972: Game 1
2497,,Manny Sanguillen,C,1972: Game 1
2498,,Ted Simmons,C,1972: Game 1
2499,,Nate Colbert,1B,1972: Game 1
2500,,Glenn Beckert,2B,1972: Game 1
2501,,Ron Santo,3B,1972: Game 1
2502,,Chris Speier,SS,1972: Game 1
2503,,Lou Brock,LF,1972: Game 1
2504,,Billy Williams,LF,1972: Game 1
2505,,Cesar Cedeno,CF,1972: Game 1
2506,,Al Oliver,CF,1972: Game 1
2507,,Roberto Clemente,RF,1972: Game 1
2508,,Steve Blass,P,1972: Game 1
2509,,Steve Carlton,P,1972: Game 1
2510,,Clay Carroll,P,1972: Game 1
2511,,Fergie Jenkins,P,1972: Game 1
2512,,Tug McGraw,P,1972: Game 1
2513,,Gary Nolan,P,1972: Game 1
2514,,Tom Seaver,P,1972: Game 1
2515,,Bill Stoneman,P,1972: Game 1
2516,,Don Sutton,P,1972: Game 1
2517,1,Pete Rose,LF,1973: Game 1
2518,2,Joe Morgan,2B,1973: Game 1
2519,3,Cesar Cedeno,CF,1973: Game 1
2520,4,Henry Aaron,1B,1973: Game 1
2521,5,Billy Williams,RF,1973: Game 1
2522,6,Johnny Bench,C,1973: Game 1
2523,7,Ron Santo,3B,1973: Game 1
2524,8,Chris Speier,SS,1973: Game 1
2525,9,Rick Wise,P,1973: Game 1
2526,,Manager,,1973: Game 1
2527,,Sparky Anderson,,1973: Game 1
2528,,Reserves,,1973: Game 1
2529,,Ted Simmons,C,1973: Game 1
2530,,Nate Colbert,1B,1973: Game 1
2531,,Joe Torre,1B,1973: Game 1
2532,,Davey Johnson,2B,1973: Game 1
2533,,Darrell Evans,3B,1973: Game 1
2534,,Dave Concepcion,SS,1973: Game 1
2535,,Bill Russell,SS,1973: Game 1
2536,,Ron Fairly,LF,1973: Game 1
2537,,Manny Mota,LF,1973: Game 1
2538,,Willie Stargell,LF,1973: Game 1
2539,,Bob Watson,LF,1973: Game 1
2540,,Willie Davis,CF,1973: Game 1
2541,,Willie Mays,CF,1973: Game 1
2542,,Bobby Bonds,RF,1973: Game 1
2543,,Jack Billingham,P,1973: Game 1
2544,,Jim Brewer,P,1973: Game 1
2545,,Dave Giusti,P,1973: Game 1
2546,,Claude Osteen,P,1973: Game 1
2547,,Tom Seaver,P,1973: Game 1
2548,,Don Sutton,P,1973: Game 1
2549,,Wayne Twitchell,P,1973: Game 1
2550,1,Bert Campaneris,SS,1973: Game 1
2551,2,Rod Carew,2B,1973: Game 1
2552,3,John Mayberry,1B,1973: Game 1
2553,4,Reggie Jackson,RF,1973: Game 1
2554,5,Amos Otis,CF,1973: Game 1
2555,6,Bobby Murcer,LF,1973: Game 1
2556,7,Carlton Fisk,C,1973: Game 1
2557,8,Brooks Robinson,3B,1973: Game 1
2558,9,Catfish Hunter,P,1973: Game 1
2559,,Manager,,1973: Game 1
2560,,Dick Williams,,1973: Game 1
2561,,Reserves,,1973: Game 1
2562,,Bill Freehan,C,1973: Game 1
2563,,Thurman Munson,C,1973: Game 1
2564,,Dick Allen,1B,1973: Game 1
2565,,Jim Spencer,1B,1973: Game 1
2566,,Carl Yastrzemski,1B,1973: Game 1
2567,,Dave Nelson,2B,1973: Game 1
2568,,Cookie Rojas,2B,1973: Game 1
2569,,Sal Bando,3B,1973: Game 1
2570,,Buddy Bell,3B,1973: Game 1
2571,,Ed Brinkman,SS,1973: Game 1
2572,,Willie Horton,LF,1973: Game 1
2573,,Paul Blair,CF,1973: Game 1
2574,,Dave May,CF,1973: Game 1
2575,,Pat Kelly,RF,1973: Game 1
2576,,Bert Blyleven,P,1973: Game 1
2577,,Jim Colborn,P,1973: Game 1
2578,,Rollie Fingers,P,1973: Game 1
2579,,Ken Holtzman,P,1973: Game 1
2580,,Bill Lee,P,1973: Game 1
2581,,Sparky Lyle,P,1973: Game 1
2582,,Nolan Ryan,P,1973: Game 1
2583,,Bill Singer,P,1973: Game 1
2584,1,Rod Carew,2B,1974: Game 1
2585,2,Bert Campaneris,SS,1974: Game 1
2586,3,Reggie Jackson,RF,1974: Game 1
2587,4,Dick Allen,1B,1974: Game 1
2588,5,Bobby Murcer,CF,1974: Game 1
2589,6,Jeff Burroughs,LF,1974: Game 1
2590,7,Brooks Robinson,3B,1974: Game 1
2591,8,Thurman Munson,C,1974: Game 1
2592,9,Gaylord Perry,P,1974: Game 1
2593,,Manager,,1974: Game 1
2594,,Dick Williams,,1974: Game 1
2595,,Reserves,,1974: Game 1
2596,,Carlton Fisk,C,1974: Game 1
2597,,Ed Herrmann,C,1974: Game 1
2598,,Darrell Porter,C,1974: Game 1
2599,,Jim Sundberg,C,1974: Game 1
2600,,John Mayberry,1B,1974: Game 1
2601,,Bobby Grich,2B,1974: Game 1
2602,,Cookie Rojas,2B,1974: Game 1
2603,,Sal Bando,3B,1974: Game 1
2604,,Don Money,3B,1974: Game 1
2605,,Dave Chalk,SS,1974: Game 1
2606,,Frank Robinson,LF,1974: Game 1
2607,,Joe Rudi,LF,1974: Game 1
2608,,Carl Yastrzemski,LF,1974: Game 1
2609,,George Hendrick,CF,1974: Game 1
2610,,Al Kaline,DH,1974: Game 1
2611,,Steve Busby,P,1974: Game 1
2612,,Mike Cuellar,P,1974: Game 1
2613,,Rollie Fingers,P,1974: Game 1
2614,,John Hiller,P,1974: Game 1
2615,,Catfish Hunter,P,1974: Game 1
2616,,Luis Tiant,P,1974: Game 1
2617,,Wilbur Wood,P,1974: Game 1
2618,1,Pete Rose,LF,1974: Game 1
2619,2,Joe Morgan,2B,1974: Game 1
2620,3,Henry Aaron,RF,1974: Game 1
2621,4,Johnny Bench,C,1974: Game 1
2622,5,Jim Wynn,CF,1974: Game 1
2623,6,Steve Garvey,1B,1974: Game 1
2624,7,Ron Cey,3B,1974: Game 1
2625,8,Larry Bowa,SS,1974: Game 1
2626,9,Andy Messersmith,P,1974: Game 1
2627,,Manager,,1974: Game 1
2628,,Yogi Berra,,1974: Game 1
2629,,Reserves,,1974: Game 1
2630,,Jerry Grote,C,1974: Game 1
2631,,Ted Simmons,C,1974: Game 1
2632,,Tony Perez,1B,1974: Game 1
2633,,Dave Cash,2B,1974: Game 1
2634,,Mike Schmidt,3B,1974: Game 1
2635,,Don Kessinger,SS,1974: Game 1
2636,,Chris Speier,SS,1974: Game 1
2637,,Lou Brock,LF,1974: Game 1
2638,,Ralph Garr,LF,1974: Game 1
2639,,Cesar Cedeno,CF,1974: Game 1
2640,,Johnny Grubb,CF,1974: Game 1
2641,,Reggie Smith,RF,1974: Game 1
2642,,Ken Brett,P,1974: Game 1
2643,,Buzz Capra,P,1974: Game 1
2644,,Steve Carlton,P,1974: Game 1
2645,,Mike Marshall,P,1974: Game 1
2646,,Jon Matlack,P,1974: Game 1
2647,,Lynn McGlothen,P,1974: Game 1
2648,,Steve Rogers,P,1974: Game 1
2649,1,Pete Rose,RF,1975: Game 1
2650,2,Lou Brock,LF,1975: Game 1
2651,3,Joe Morgan,2B,1975: Game 1
2652,4,Johnny Bench,C,1975: Game 1
2653,5,Steve Garvey,1B,1975: Game 1
2654,6,Jim Wynn,CF,1975: Game 1
2655,7,Ron Cey,3B,1975: Game 1
2656,8,Dave Concepcion,SS,1975: Game 1
2657,9,Jerry Reuss,P,1975: Game 1
2658,,Manager,,1975: Game 1
2659,,Walter Alston,,1975: Game 1
2660,,Reserves,,1975: Game 1
2661,,Manny Sanguillen,C,1975: Game 1
2662,,Tony Perez,1B,1975: Game 1
2663,,Bob Watson,1B,1975: Game 1
2664,,Dave Cash,2B,1975: Game 1
2665,,Bill Madlock,3B,1975: Game 1
2666,,Larry Bowa,SS,1975: Game 1
2667,,Greg Luzinski,LF,1975: Game 1
2668,,Al Oliver,CF,1975: Game 1
2669,,Gary Carter,RF,1975: Game 1
2670,,Bobby Murcer,RF,1975: Game 1
2671,,Reggie Smith,RF,1975: Game 1
2672,,Randy Jones,P,1975: Game 1
2673,,Mike Marshall,P,1975: Game 1
2674,,Jon Matlack,P,1975: Game 1
2675,,Tug McGraw,P,1975: Game 1
2676,,Andy Messersmith,P,1975: Game 1
2677,,Phil Niekro,P,1975: Game 1
2678,,Tom Seaver,P,1975: Game 1
2679,,Don Sutton,P,1975: Game 1
2680,1,Bobby Bonds,CF,1975: Game 1
2681,2,Rod Carew,2B,1975: Game 1
2682,3,Thurman Munson,C,1975: Game 1
2683,4,Reggie Jackson,RF,1975: Game 1
2684,5,Joe Rudi,LF,1975: Game 1
2685,6,Graig Nettles,3B,1975: Game 1
2686,7,Gene Tenace,1B,1975: Game 1
2687,8,Bert Campaneris,SS,1975: Game 1
2688,9,Vida Blue,P,1975: Game 1
2689,,Manager,,1975: Game 1
2690,,Al Dark,,1975: Game 1
2691,,Reserves,,1975: Game 1
2692,,Bill Freehan,C,1975: Game 1
2693,,George Scott,1B,1975: Game 1
2694,,Carl Yastrzemski,1B,1975: Game 1
2695,,Jorge Orta,2B,1975: Game 1
2696,,Dave Chalk,3B,1975: Game 1
2697,,Bucky Dent,SS,1975: Game 1
2698,,Toby Harrah,SS,1975: Game 1
2699,,Henry Aaron,LF,1975: Game 1
2700,,Mike Hargrove,LF,1975: Game 1
2701,,Hal McRae,LF,1975: Game 1
2702,,Claudell Washington,LF,1975: Game 1
2703,,George Hendrick,CF,1975: Game 1
2704,,Fred Lynn,CF,1975: Game 1
2705,,Steve Busby,P,1975: Game 1
2706,,Rollie Fingers,P,1975: Game 1
2707,,Rich Gossage,P,1975: Game 1
2708,,Catfish Hunter,P,1975: Game 1
2709,,Jim Kaat,P,1975: Game 1
2710,,Jim Palmer,P,1975: Game 1
2711,,Nolan Ryan,P,1975: Game 1
2712,1,Ron LeFlore,LF,1976: Game 1
2713,2,Rod Carew,1B,1976: Game 1
2714,3,George Brett,3B,1976: Game 1
2715,4,Thurman Munson,C,1976: Game 1
2716,5,Fred Lynn,CF,1976: Game 1
2717,6,Toby Harrah,SS,1976: Game 1
2718,7,Rusty Staub,RF,1976: Game 1
2719,8,Bobby Grich,2B,1976: Game 1
2720,9,Mark Fidrych,P,1976: Game 1
2721,,Manager,,1976: Game 1
2722,,Darrell Johnson,,1976: Game 1
2723,,Reserves,,1976: Game 1
2724,,Carlton Fisk,C,1976: Game 1
2725,,Butch Wynegar,C,1976: Game 1
2726,,Chris Chambliss,1B,1976: Game 1
2727,,Carl Yastrzemski,1B,1976: Game 1
2728,,Phil Garner,2B,1976: Game 1
2729,,Willie Randolph,2B,1976: Game 1
2730,,Don Money,3B,1976: Game 1
2731,,Mark Belanger,SS,1976: Game 1
2732,,Freddie Patek,SS,1976: Game 1
2733,,Hal McRae,LF,1976: Game 1
2734,,Amos Otis,CF,1976: Game 1
2735,,Mickey Rivers,CF,1976: Game 1
2736,,Rollie Fingers,P,1976: Game 1
2737,,Rich Gossage,P,1976: Game 1
2738,,Catfish Hunter,P,1976: Game 1
2739,,Dave LaRoche,P,1976: Game 1
2740,,Sparky Lyle,P,1976: Game 1
2741,,Frank Tanana,P,1976: Game 1
2742,,Luis Tiant,P,1976: Game 1
2743,,Bill Travers,P,1976: Game 1
2744,1,Pete Rose,3B,1976: Game 1
2745,2,Steve Garvey,1B,1976: Game 1
2746,3,Joe Morgan,2B,1976: Game 1
2747,4,George Foster,CF,1976: Game 1
2748,5,Greg Luzinski,LF,1976: Game 1
2749,6,Johnny Bench,C,1976: Game 1
2750,7,Dave Kingman,RF,1976: Game 1
2751,8,Dave Concepcion,SS,1976: Game 1
2752,9,Randy Jones,P,1976: Game 1
2753,,Manager,,1976: Game 1
2754,,Sparky Anderson,,1976: Game 1
2755,,Reserves,,1976: Game 1
2756,,Bob Boone,C,1976: Game 1
2757,,Steve Swisher,C,1976: Game 1
2758,,Tony Perez,1B,1976: Game 1
2759,,Dave Cash,2B,1976: Game 1
2760,,Ron Cey,3B,1976: Game 1
2761,,Mike Schmidt,3B,1976: Game 1
2762,,Larry Bowa,SS,1976: Game 1
2763,,Bill Russell,SS,1976: Game 1
2764,,Cesar Cedeno,CF,1976: Game 1
2765,,Bake McBride,CF,1976: Game 1
2766,,Al Oliver,CF,1976: Game 1
2767,,Ken Griffey,RF,1976: Game 1
2768,,Ken Forsch,P,1976: Game 1
2769,,Woodie Fryman,P,1976: Game 1
2770,,Jon Matlack,P,1976: Game 1
2771,,Andy Messersmith,P,1976: Game 1
2772,,John Montefusco,P,1976: Game 1
2773,,Rick Rhoden,P,1976: Game 1
2774,,Dick Ruthven,P,1976: Game 1
2775,,Tom Seaver,P,1976: Game 1
2776,1,Joe Morgan,2B,1977: Game 1
2777,2,Steve Garvey,1B,1977: Game 1
2778,3,Dave Parker,RF,1977: Game 1
2779,4,George Foster,CF,1977: Game 1
2780,5,Greg Luzinski,LF,1977: Game 1
2781,6,Ron Cey,3B,1977: Game 1
2782,7,Johnny Bench,C,1977: Game 1
2783,8,Dave Concepcion,SS,1977: Game 1
2784,9,Don Sutton,P,1977: Game 1
2785,,Manager,,1977: Game 1
2786,,Sparky Anderson,,1977: Game 1
2787,,Reserves,,1977: Game 1
2788,,Ted Simmons,C,1977: Game 1
2789,,John Stearns,C,1977: Game 1
2790,,Willie Montanez,1B,1977: Game 1
2791,,Manny Trillo,2B,1977: Game 1
2792,,Pete Rose,3B,1977: Game 1
2793,,Mike Schmidt,3B,1977: Game 1
2794,,Garry Templeton,SS,1977: Game 1
2795,,Jerry Morales,CF,1977: Game 1
2796,,Ken Griffey,RF,1977: Game 1
2797,,Reggie Smith,RF,1977: Game 1
2798,,Ellis Valentine,RF,1977: Game 1
2799,,Dave Winfield,RF,1977: Game 1
2800,,Joaquin Andujar,P,1977: Game 1
2801,,John Candelaria,P,1977: Game 1
2802,,Steve Carlton,P,1977: Game 1
2803,,Rich Gossage,P,1977: Game 1
2804,,Gary Lavelle,P,1977: Game 1
2805,,Rick Reuschel,P,1977: Game 1
2806,,Tom Seaver,P,1977: Game 1
2807,,Bruce Sutter,P,1977: Game 1
2808,1,Rod Carew,1B,1977: Game 1
2809,2,Willie Randolph,2B,1977: Game 1
2810,3,George Brett,3B,1977: Game 1
2811,4,Carl Yastrzemski,CF,1977: Game 1
2812,5,Richie Zisk,LF,1977: Game 1
2813,6,Reggie Jackson,RF,1977: Game 1
2814,7,Carlton Fisk,C,1977: Game 1
2815,8,Rick Burleson,SS,1977: Game 1
2816,9,Jim Palmer,P,1977: Game 1
2817,,Manager,,1977: Game 1
2818,,Billy Martin,,1977: Game 1
2819,,Reserves,,1977: Game 1
2820,,Thurman Munson,C,1977: Game 1
2821,,Butch Wynegar,C,1977: Game 1
2822,,Ron Fairly,1B,1977: Game 1
2823,,George Scott,1B,1977: Game 1
2824,,Jason Thompson,1B,1977: Game 1
2825,,Don Money,2B,1977: Game 1
2826,,Wayne Gross,3B,1977: Game 1
2827,,Graig Nettles,3B,1977: Game 1
2828,,Bert Campaneris,SS,1977: Game 1
2829,,Larry Hisle,LF,1977: Game 1
2830,,Jim Rice,LF,1977: Game 1
2831,,Ruppert Jones,CF,1977: Game 1
2832,,Fred Lynn,CF,1977: Game 1
2833,,Ken Singleton,RF,1977: Game 1
2834,,Vida Blue,P,1977: Game 1
2835,,Bill Campbell,P,1977: Game 1
2836,,Dennis Eckersley,P,1977: Game 1
2837,,Mark Fidrych,P,1977: Game 1
