,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date,Games,GS
209,Harrison Barnes,SAC,41:08,7.0,16.0,0.438,1.0,5.0,0.2,6.0,8.0,0.75,1.0,3.0,4.0,3.0,0.0,0.0,2.0,1.0,21.0,-6.0,3/20/2022,1,13.1
210,Trey Lyles,SAC,32:55,3.0,8.0,0.375,2.0,4.0,0.5,3.0,3.0,1.0,0.0,5.0,5.0,1.0,2.0,1.0,0.0,3.0,11.0,5.0,3/20/2022,1,10.299999999999997
211,Domantas Sabonis,SAC,31:00,5.0,8.0,0.625,1.0,1.0,1.0,7.0,9.0,0.778,2.0,10.0,12.0,6.0,2.0,0.0,2.0,4.0,18.0,5.0,3/20/2022,1,20.599999999999998
212,Justin Holiday,SAC,27:24,3.0,9.0,0.333,2.0,7.0,0.286,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,5.0,10.0,-10.0,3/20/2022,1,4.8999999999999995
213,Donte DiVincenzo,SAC,28:45,4.0,11.0,0.364,3.0,6.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,4.0,2.0,13.0,2.0,3/20/2022,1,7.499999999999998
214,Damian Jones,SAC,22:00,5.0,8.0,0.625,1.0,1.0,1.0,2.0,4.0,0.5,4.0,3.0,7.0,1.0,2.0,1.0,1.0,3.0,13.0,-8.0,3/20/2022,1,13.499999999999996
215,Chimezie Metu,SAC,20:05,1.0,4.0,0.25,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,-8.0,3/20/2022,1,5.6000000000000005
216,Jeremy Lamb,SAC,15:31,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,0.0,5.0,5.0,3.0,0.0,0.0,1.0,0.0,5.0,-1.0,3/20/2022,1,4.8999999999999995
221,Drew Eubanks,POR,31:26,10.0,12.0,0.833,1.0,2.0,0.5,0.0,0.0,0.0,2.0,7.0,9.0,1.0,1.0,1.0,2.0,5.0,21.0,-7.0,3/30/2022,1,18.5
222,CJ Elleby,POR,30:42,1.0,9.0,0.111,1.0,6.0,0.167,6.0,7.0,0.857,2.0,5.0,7.0,3.0,0.0,0.0,1.0,2.0,9.0,-1.0,3/30/2022,1,5.9
223,Greg Brown III,POR,27:20,3.0,5.0,0.6,3.0,5.0,0.6,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0,2.0,2.0,9.0,-12.0,3/30/2022,1,7.599999999999998
224,Brandon Williams,POR,27:16,4.0,10.0,0.4,2.0,6.0,0.333,0.0,0.0,0.0,1.0,1.0,2.0,10.0,1.0,0.0,6.0,2.0,10.0,-5.0,3/30/2022,1,6.799999999999999
225,Keon Johnson,POR,22:01,2.0,5.0,0.4,1.0,2.0,0.5,2.0,3.0,0.667,0.0,2.0,2.0,4.0,0.0,1.0,2.0,5.0,7.0,-18.0,3/30/2022,1,4.0
226,Ben McLemore,POR,25:59,5.0,12.0,0.417,3.0,10.0,0.3,3.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,16.0,8.0,3/30/2022,1,10.200000000000001
227,Kris Dunn,POR,24:39,4.0,9.0,0.444,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,5.0,8.0,2.0,0.0,3.0,1.0,9.0,-8.0,3/30/2022,1,10.399999999999999
228,Keljin Blevins,POR,22:33,2.0,6.0,0.333,2.0,4.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,3.0,6.0,-4.0,3/30/2022,1,3.000000000000001
229,Reggie Perry,POR,16:34,6.0,11.0,0.545,0.0,2.0,0.0,3.0,4.0,0.75,4.0,2.0,6.0,0.0,0.0,0.0,1.0,5.0,15.0,-3.0,3/30/2022,1,9.699999999999998
230,Didi Louzada,POR,11:30,2.0,6.0,0.333,1.0,5.0,0.2,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,3/30/2022,1,3.3000000000000003
234,Domantas Sabonis,SAC,34:39,4.0,12.0,0.333,0.0,3.0,0.0,3.0,6.0,0.5,3.0,7.0,10.0,7.0,2.0,2.0,1.0,4.0,11.0,7.0,10/22/2022,1,12.900000000000002
235,Harrison Barnes,SAC,34:29,2.0,10.0,0.2,0.0,3.0,0.0,4.0,7.0,0.571,1.0,6.0,7.0,0.0,1.0,0.0,1.0,2.0,8.0,4.0,10/22/2022,1,2.3000000000000007
236,De'Aaron Fox,SAC,32:26,15.0,23.0,0.652,3.0,5.0,0.6,3.0,6.0,0.5,1.0,4.0,5.0,4.0,1.0,1.0,3.0,1.0,36.0,5.0,10/22/2022,1,27.700000000000003
237,Kevin Huerter,SAC,32:26,5.0,9.0,0.556,5.0,8.0,0.625,3.0,4.0,0.75,0.0,3.0,3.0,5.0,0.0,0.0,1.0,4.0,18.0,5.0,10/22/2022,1,15.099999999999998
238,KZ Okpala,SAC,18:20,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,10/22/2022,1,2.9
