,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date,Games,GS
118,Yuta Watanabe,PHO,11:42,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,12/22/23,1,-0.6
119,Bol Bol,PHO,3:22,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,12/22/23,1,1.7
122,Jeremy Sochan,SAS,38:05,8.0,16.0,0.5,2.0,4.0,0.5,5.0,5.0,1.0,3.0,5.0,8.0,4.0,2.0,2.0,4.0,4.0,23.0,-4.0,1/15/24,1,19.2
123,Devin Vassell,SAS,30:27,2.0,11.0,0.182,0.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,1.0,0.0,0.0,4.0,-4.0,1/15/24,1,2.2
124,Tre Jones,SAS,30:11,3.0,8.0,0.375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,3.0,0.0,3.0,0.0,6.0,5.0,1/15/24,1,10.299999999999999
125,Victor Wembanyama,SAS,27:05,12.0,18.0,0.667,1.0,5.0,0.2,1.0,1.0,1.0,2.0,11.0,13.0,2.0,2.0,5.0,3.0,2.0,26.0,-2.0,1/15/24,1,26.0
126,Julian Champagnie,SAS,20:05,5.0,8.0,0.625,5.0,8.0,0.625,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,5.0,1/15/24,1,13.0
127,Keldon Johnson,SAS,26:10,1.0,11.0,0.091,0.0,5.0,0.0,3.0,5.0,0.6,2.0,4.0,6.0,0.0,1.0,0.0,5.0,4.0,5.0,-4.0,1/15/24,1,-6.099999999999999
128,Dominick Barlow,SAS,16:48,1.0,4.0,0.25,0.0,0.0,0.0,2.0,4.0,0.5,0.0,7.0,7.0,1.0,1.0,0.0,0.0,2.0,4.0,-6.0,1/15/24,1,3.8000000000000007
129,Doug McDermott,SAS,15:16,2.0,5.0,0.4,2.0,5.0,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,1/15/24,1,3.1999999999999997
130,Blake Wesley,SAS,12:38,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,3.0,-6.0,1/15/24,1,2.3
131,Cedi Osman,SAS,11:59,1.0,5.0,0.2,1.0,5.0,0.2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,-11.0,1/15/24,1,-2.0
132,Malaki Branham,SAS,9:51,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,-21.0,1/15/24,1,1.6
133,Sandro Mamukelashvili,SAS,1:24,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,1/15/24,1,-0.7
0,Damian Lillard,POR,36:19,17.0,29.0,0.586,9.0,15.0,0.6,8.0,8.0,1.0,0.0,2.0,2.0,12.0,1.0,0.0,2.0,2.0,51.0,17.0,2/1/20,1,44.7
1,Hassan Whiteside,POR,34:47,7.0,10.0,0.7,0.0,0.0,0.0,3.0,6.0,0.5,6.0,15.0,21.0,0.0,1.0,3.0,2.0,2.0,17.0,20.0,2/1/20,1,20.599999999999998
2,CJ McCollum,POR,34:00,6.0,14.0,0.429,2.0,4.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,14.0,14.0,2/1/20,1,6.0
3,Carmelo Anthony,POR,32:01,5.0,15.0,0.333,1.0,3.0,0.333,4.0,4.0,1.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,15.0,9.0,2/1/20,1,9.499999999999998
4,Trevor Ariza,POR,26:17,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,2.0,0.0,0.0,1.0,4.0,6.0,20.0,2/1/20,1,4.700000000000001
5,Gary Trent Jr.,POR,24:22,3.0,9.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,2/1/20,1,1.7999999999999994
6,Anfernee Simons,POR,23:40,3.0,6.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,0.0,0.0,1.0,2.0,7.0,9.0,2/1/20,1,5.8
7,Caleb Swanigan,POR,12:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,1.0,2.0,2.0,0.0,-5.0,2/1/20,1,0.8999999999999995
8,Nassir Little,POR,12:56,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,-1.0,2/1/20,1,6.3999999999999995
9,Wenyen Gabriel,POR,2:39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-4.0,2/1/20,1,-0.4
13,Kentavious Caldwell-Pope,LAL,41:15,4.0,11.0,0.364,2.0,8.0,0.25,2.0,2.0,1.0,0.0,7.0,7.0,2.0,1.0,2.0,0.0,1.0,12.0,0.0,11/15/17,1,11.4
14,Brandon Ingram,LAL,39:46,11.0,18.0,0.611,0.0,0.0,0.0,4.0,5.0,0.8,4.0,7.0,11.0,3.0,0.0,2.0,2.0,4.0,26.0,-2.0,11/15/17,1,22.199999999999996
15,Kyle Kuzma,LAL,30:47,9.0,18.0,0.5,1.0,4.0,0.25,5.0,6.0,0.833,4.0,3.0,7.0,1.0,0.0,0.0,2.0,2.0,24.0,-4.0,11/15/17,1,16.2
16,Lonzo Ball,LAL,21:25,1.0,9.0,0.111,0.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,2.0,1.0,0.0,2.0,3.0,2.0,-18.0,11/15/17,1,-2.0000000000000004
17,Brook Lopez,LAL,15:55,3.0,12.0,0.25,0.0,5.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,8.0,-11.0,11/15/17,1,2.0000000000000004
18,Jordan Clarkson,LAL,31:40,8.0,21.0,0.381,0.0,2.0,0.0,4.0,4.0,1.0,3.0,3.0,6.0,5.0,2.0,0.0,0.0,1.0,20.0,3.0,11/15/17,1,16.6
19,Julius Randle,LAL,29:39,2.0,12.0,0.167,0.0,1.0,0.0,4.0,6.0,0.667,3.0,5.0,8.0,1.0,1.0,0.0,3.0,6.0,8.0,5.0,11/15/17,1,-0.4999999999999982
20,Andrew Bogut,LAL,19:39,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,10.0,2.0,1.0,2.0,0.0,2.0,6.0,-2.0,11/15/17,1,11.3
21,Corey Brewer,LAL,9:54,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,-1.0,11/15/17,1,1.8000000000000003
27,Klay Thompson,GSW,30:16,5.0,12.0,0.417,3.0,5.0,0.6,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,15.0,14.0,12/27/17,1,7.6
28,Kevin Durant,GSW,29:03,7.0,10.0,0.7,2.0,3.0,0.667,5.0,5.0,1.0,0.0,6.0,6.0,4.0,0.0,3.0,2.0,3.0,21.0,22.0,12/27/17,1,20.3
29,Draymond Green,GSW,24:42,6.0,10.0,0.6,2.0,5.0,0.4,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,3.0,1.0,14.0,6.0,12/27/17,1,14.0
30,Shaun Livingston,GSW,20:14,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0,0.0,8.0,7.0,12/27/17,1,9.099999999999998
31,Zaza Pachulia,GSW,13:44,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,5.0,5.0,12/27/17,1,5.1
